
6/10/2011 1:28:02 PM   Starting VideoWallGallery:   Started
6/10/2011 1:28:06 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:28:07 PM   Starting PhotoBooth:   Started
6/10/2011 1:28:07 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:28:07 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:28:23 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:28:23 PM   Starting PhotoBooth:   Started
6/10/2011 1:29:06 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:29:06 PM   Starting PhotoBooth:   Started
6/10/2011 1:29:28 PM   Saving List
6/10/2011 1:29:28 PM   ********* SESSION FINISHED *********
6/10/2011 1:30:00 PM   ********* SESSION STARTED *********
6/10/2011 1:30:00 PM   Loading saved list
6/10/2011 1:30:03 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:30:04 PM   Starting PhotoBooth:   Started
6/10/2011 1:30:22 PM   Saving List
6/10/2011 1:30:22 PM   ********* SESSION FINISHED *********
6/10/2011 1:39:49 PM   ********* SESSION STARTED *********
6/10/2011 1:39:49 PM   Loading saved list
6/10/2011 1:39:51 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:39:52 PM   Starting PhotoBooth:   Started
6/10/2011 1:39:52 PM   Checking CoreControllUI:   NOT running
6/10/2011 1:39:54 PM   Starting CoreControllUI:   Started
6/10/2011 1:39:54 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:39:55 PM   Starting VideoWallGallery:   Started
6/10/2011 1:39:56 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:39:57 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:40:07 PM   Saving List
6/10/2011 1:40:07 PM   ********* SESSION FINISHED *********
6/10/2011 1:40:09 PM   ********* SESSION STARTED *********
6/10/2011 1:40:09 PM   Loading saved list
6/10/2011 1:40:09 PM   Checking PhotoBooth:   Alredy running
6/10/2011 1:40:11 PM   Checking CoreControllUI:   Alredy running
6/10/2011 1:40:12 PM   Checking VideoWallGallery:   Alredy running
6/10/2011 1:40:22 PM   Saving List
6/10/2011 1:40:22 PM   ********* SESSION FINISHED *********
6/10/2011 1:41:26 PM   ********* SESSION STARTED *********
6/10/2011 1:41:26 PM   Loading saved list
6/10/2011 1:41:26 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:41:29 PM   Starting PhotoBooth:   Started
6/10/2011 1:41:29 PM   Checking CoreControllUI:   NOT running
6/10/2011 1:41:30 PM   Starting CoreControllUI:   Started
6/10/2011 1:41:30 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:41:31 PM   Starting VideoWallGallery:   Started
6/10/2011 1:41:56 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:41:57 PM   Starting PhotoBooth:   Started
6/10/2011 1:41:57 PM   Checking CoreControllUI:   NOT running
6/10/2011 1:41:58 PM   Starting CoreControllUI:   Started
6/10/2011 1:41:58 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:41:59 PM   Starting VideoWallGallery:   Started
6/10/2011 1:42:28 PM   ********* SESSION STARTED *********
6/10/2011 1:42:28 PM   Loading saved list
6/10/2011 1:42:28 PM   Checking PhotoBooth:   NOT running
6/10/2011 1:42:30 PM   Starting PhotoBooth:   Started
6/10/2011 1:42:30 PM   Checking CoreControllUI:   NOT running
6/10/2011 1:42:31 PM   Starting CoreControllUI:   Started
6/10/2011 1:42:31 PM   Checking VideoWallGallery:   NOT running
6/10/2011 1:42:32 PM   Starting VideoWallGallery:   Started
6/10/2011 1:42:41 PM   Saving List
6/10/2011 1:42:41 PM   ********* SESSION FINISHED *********
